biosample,strain,cultivar,isolate,ecotype,age,tissue,disease,population,treatment,accession,collection_location,graft_combination,biological_replicate,genotype,photoperiod,replicate,ploidy,propagation,phenotype,seed_harvest_year,host,compartment,breed,sex,Replicate,condition,line,timepoint,sample,location,tmp,label,Stage,temperature,generation,preservation,trait,time,identity,vector,v_type,sampling_time_point,transgene,ID,distinctive_attribute,id,compound,Block,purification,technique,VIGS,infection,48_h_inoculation,dehydration,replication,Replication,subregion,inoculation,re_1,library_type,mutant,Dawei,md5sum,replicates,re_2,cultivars,pigmentation,library_id,title,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,filetype,tem,depth,elevation,tag,filename,filename2,innoculation,file_name,concentration,BioSourceType,InitialTimePoint,Authors,HostIndividual,barcodesequence,scientific_name,BioSample,GSS,Sample name,SRA,GEO,DOE Joint Genome Institute,EST,SCN
SAMD00235537,NG8334,Nipponbare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN00235537,LIBGSS_024689,,,,,,
SAMN30889879,,missing,B sufficient,missing,missing,Root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN30889879,,"CK (1,2,3,4)",SRS15192176,,,,
SAMN09513405,,12279,P. sojae 1.S.1.1,Conrad x Sloan,24 hai,inoculation site: ~2 cm below the crown,Phytophthora root and stem rot,F9:11 Recombinant inbred line,Inoculated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN09513405,,SL209648,SRS3480825,,,,
SAMN09078292,,PI641156 NC-Raleigh,,,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN09078292,,,SRS3262752,GSM3132253,,,
SAMN36760700,,,R89-2 line repeat 1 in CSSL population,,,Embryo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN36760700,,R89-2-1,SRS18451534,,,,
SAMN41725164,,,LPHO_3,,,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN41725164,,LPHO_HRT_3,SRS21543890,,,,
SAMN15648563,,P563,not applicable,YHSBLP,not applicable,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN15648563,,S12C292,SRS7093128,,,,
SAMN13746624,,Williams 82,,,,style and ovary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN13746624,,,SRS5952821,GSM4254060,,,
SAMN22841297,,L65-1255 (IsoClark),,,30 minutes after transfer,whole root,,,Sufficient iron,PI 547430,"Ames, IA",G3 (Clk/Iso),Rep 1 of 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN22841297,,G3_30min_Rep1_Root_Suf,SRS10903011,,,,
SAMN25601483,,low phytate,Saneoka Hirofumi,non,21d seeding,Leaf,,,,,,,,LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN25601483,,LP-line-replicate 1,SRS11863060,,,,
